Mitarbeiter;Umsatz;Monat
Donald Duck;10044;2014.01
Donald Duck;1728;2014.02
Donald Duck;10932;2014.03
Donald Duck;7500;2014.04
Donald Duck;7944;2014.05
Donald Duck;8100;2014.06
Donald Duck;8256;2014.07
Donald Duck;8412;2014.08
Donald Duck;8568;2014.09
Donald Duck;8736;2014.10
Donald Duck;8892;2014.11
Donald Duck;9048;2014.12
Donald Duck;9204;2015.01
Donald Duck;9360;2015.02
Donald Duck;9516;2015.03
Donald Duck;9672;2015.04
Donald Duck;9828;2015.05
Donald Duck;9984;2015.06
Donald Duck;10140;2015.07
Donald Duck;10308;2015.08
Donald Duck;10464;2015.09
Donald Duck;10620;2015.10
Donald Duck;10776;2015.11
Donald Duck;10932;2015.12
Donald Duck;11088;2016.01
Donald Duck;11244;2016.02
Donald Duck;11400;2016.03
Donald Duck;11556;2016.04
Donald Duck;11712;2016.05
Donald Duck;11880;2016.06
Donald Duck;12036;2016.07
Donald Duck;12192;2016.08
Donald Duck;12348;2016.09
Donald Duck;12504;2016.10
Donald Duck;12660;2016.11
Donald Duck;12816;2016.12
Donald Duck;12972;2017.01
Donald Duck;13128;2017.02
Donald Duck;13284;2017.03
Donald Duck;13452;2017.04
Donald Duck;13608;2017.05
Donald Duck;13764;2017.06
Donald Duck;13920;2017.07
Donald Duck;14076;2017.08
Donald Duck;14232;2017.09
Donald Duck;14388;2017.10
Donald Duck;14544;2017.11
Donald Duck;14700;2017.12
Donald Duck;14856;2018.01
Donald Duck;15024;2018.02
Donald Duck;15180;2018.03
Donald Duck;15336;2018.04
Donald Duck;15492;2018.05
Donald Duck;15648;2018.06
Donald Duck;15804;2018.07
Donald Duck;15960;2018.08
Donald Duck;16116;2018.09
Donald Duck;16272;2018.10
Donald Duck;16428;2018.11
Donald Duck;16596;2018.12
Donald Duck;16752;2019.01
Donald Duck;16908;2019.02
Donald Duck;17064;2019.03
Donald Duck;17220;2019.04
Donald Duck;17376;2019.05
Donald Duck;17532;2019.06
Donald Duck;17688;2019.07
Donald Duck;17844;2019.08
Donald Duck;18000;2019.09
Donald Duck;22968;2019.10
Donald Duck;21924;2019.11
Donald Duck;22080;2019.12
Donald Duck;18636;2020.01
Donald Duck;18792;2020.02
Donald Duck;18948;2020.03
Donald Duck;19104;2020.04
Donald Duck;19260;2020.05
Donald Duck;19416;2020.06
Donald Duck;19572;2020.07
Donald Duck;19740;2020.08
Donald Duck;19896;2020.09
Donald Duck;20052;2020.10
Donald Duck;20208;2020.11
Donald Duck;20364;2020.12
